MSA,YEAR,TOTAL_DEPARTURES,WEIGHTED_AVG_DISTANCE
Atlanta,2019,433979,803.1576320513204
Atlanta,2021,334942,766.0031706982104
Atlanta,2023,370067,867.4772297989283
Chicago,2019,522685,896.2682131685432
Chicago,2021,374568,911.0783569338545
Chicago,2023,423834,953.7471958361057
Dallas-Fort Worth,2019,410053,904.0725028228059
Dallas-Fort Worth,2021,361479,868.793586902697
Dallas-Fort Worth,2023,399095,921.3843671306331
Houston,2019,285069,982.024408125752
Houston,2021,232869,912.9759006136497
Houston,2023,255041,998.0567320548461
Los Angeles,2019,428087,1491.324539170776
Los Angeles,2021,297866,1345.4111781807926
Los Angeles,2023,371939,1500.3153070799244
Miami,2019,325291,1156.9985028789606
Miami,2021,268661,1119.395788744924
Miami,2023,320455,1174.9700301134324
New York,2019,598874,1430.2759311641514
New York,2021,345913,1421.6434305735836
New York,2023,590291,1421.0514390360008
Philadelphia,2019,172539,843.9229855279096
Philadelphia,2021,108883,820.3910435972558
Philadelphia,2023,124164,940.1806562288587
Phoenix,2019,193219,948.4736490717787
Phoenix,2021,174329,929.5610368900183
Phoenix,2023,198726,965.769728168433
Washington DC,2019,374121,889.6019416178189
Washington DC,2021,254713,855.7668356149862
Washington DC,2023,351050,917.6769178179746
